id,class_label,definition,synonyms,parent_classes,object_properties,object_properties_readable,object_properties_simplified
HP_0000008,Abnormal morphology of female internal genitalia,An abnormality of the female internal genitalia.,Abnormality of female internal genitalia,Abnormal internal genitalia (HP_0000812) | Abnormality of the female genitalia (HP_0010460),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""morphology AND (characteristic of part of SOME internal female genitalia) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME morphology AND (characteristic of part of SOME internal female genitalia) AND (has modifier SOME abnormal,morphology and ( internal female genitalia) and ( abnormal
HP_0000812,Abnormal internal genitalia,"An anomaly of the adnexa, uterus, and vagina (in female) or seminal tract and prostate (in male).",Abnormal internal genitalia,Abnormal reproductive system morphology (HP_0012243),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""quality AND (characteristic of part of SOME internal genitalia) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME quality AND (characteristic of part of SOME internal genitalia) AND (has modifier SOME abnormal,quality and ( internal genitalia) and ( abnormal
HP_0010460,Abnormality of the female genitalia,Abnormality of the female genital system.,,Abnormal reproductive system morphology (HP_0012243),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""quality AND (characteristic of part of SOME female reproductive system) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME quality AND (characteristic of part of SOME female reproductive system) AND (has modifier SOME abnormal,quality and ( female reproductive system) and ( abnormal
HP_0000012,Urinary urgency,"Urge incontinence is the strong, sudden need to urinate.",Overactive bladder | Urgent micturition | Urinary urgency | Overactive bladder syndrome | Urgency frequency syndrome,Functional abnormality of the bladder (HP_0000009),[],,
HP_0000130,Abnormality of the uterus,An abnormality of the uterus.,Abnormality of the uterus | Uterine abnormalities | Uterine malformations,Abnormal morphology of female internal genitalia (HP_0000008),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""quality AND (characteristic of part of SOME uterus) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME quality AND (characteristic of part of SOME uterus) AND (has modifier SOME abnormal,quality and ( uterus) and ( abnormal
HP_0000132,Menorrhagia,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.,Abnormally heavy bleeding during menstruation | Abnormally heavy periods | Hypermenorrhea,Abnormality of the menstrual cycle (HP_0000140) | Abnormal bleeding (HP_0001892),[],,
HP_0000140,Abnormality of the menstrual cycle,An abnormality of the ovulation cycle.,Abnormality of the menstrual cycle | Menstrual abnormalities,Abnormal female reproductive system physiology (HP_0030012),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""process quality AND (characteristic of SOME menstruation) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME process quality AND (characteristic of SOME menstruation) AND (has modifier SOME abnormal,process quality and ( menstruation) and ( abnormal
HP_0031105,Abnormal uterus morphology,Any anomaly of the structure of the uterus,,Abnormality of the uterus (HP_0000130),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""morphology AND (characteristic of part of SOME uterus) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME morphology AND (characteristic of part of SOME uterus) AND (has modifier SOME abnormal,morphology and ( uterus) and ( abnormal
HP_0000137,Abnormality of the ovary,An abnormality of the ovary.,Abnormality of the ovaries | Abnormality of the ovary | Ovarian disease,Abnormal morphology of female internal genitalia (HP_0000008),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""quality AND (characteristic of part of SOME ovary) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME quality AND (characteristic of part of SOME ovary) AND (has modifier SOME abnormal,quality and ( ovary) and ( abnormal
HP_0000138,Ovarian cyst,The presence of one or more cysts of the ovary.,Cystic abnormalities of the ovaries | Cystic ovaries | Ovarian cyst | Ovarian cystic abnormality,Abnormal ovarian morphology (HP_0031065),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""increased amount AND (characteristic of SOME (cyst AND (part of SOME ovary))) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME increased amount AND (characteristic of SOME (cyst AND (part of SOME ovary))) AND (has modifier SOME abnormal,increased amount and ( (cyst and ( ovary))) and ( abnormal
HP_0031065,Abnormal ovarian morphology,,,Abnormality of the ovary (HP_0000137),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""morphology AND (characteristic of SOME ovary) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME morphology AND (characteristic of SOME ovary) AND (has modifier SOME abnormal,morphology and ( ovary) and ( abnormal
HP_0030012,Abnormal female reproductive system physiology,,Abnormal female reproductive system physiology | Abnormal female genital system physiology,Abnormality of reproductive system physiology (HP_0000080),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""functionality AND (characteristic of SOME female reproductive system) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME functionality AND (characteristic of SOME female reproductive system) AND (has modifier SOME abnormal,functionality and ( female reproductive system) and ( abnormal
HP_0000144,Decreased fertility,,Abnormal fertility | Decreased fertility,Abnormality of reproductive system physiology (HP_0000080),[],,
HP_0000790,Hematuria,The presence of blood in the urine. Hematuria may be gross hematuria (visible to the naked eye) or microscopic hematuria (detected by dipstick or microscopic examination of the urine).,Blood in urine,Abnormal renal physiology (HP_0012211) | Abnormal urine cytology (HP_0012614),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""increased amount AND (characteristic of SOME (blood AND (part of SOME urine))) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME increased amount AND (characteristic of SOME (blood AND (part of SOME urine))) AND (has modifier SOME abnormal,increased amount and ( (blood and ( urine))) and ( abnormal
HP_0012243,Abnormal reproductive system morphology,A structural or developmental anomaly of any of the tissues involved in the genital system.,Abnormal genital system morphology,Abnormality of the genital system (HP_0000078),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""morphology AND (characteristic of SOME reproductive system) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME morphology AND (characteristic of SOME reproductive system) AND (has modifier SOME abnormal,morphology and ( reproductive system) and ( abnormal
HP_0000858,Irregular menstruation,Abnormally high variation in the amount of time between periods.,Irregular menses | Irregular periods | Menstrual irregularities | Menstrual irregularity,Abnormality of the menstrual cycle (HP_0000140),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""irregular rhythm AND (towards SOME menstruation) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME irregular rhythm AND (towards SOME menstruation) AND (has modifier SOME abnormal,irregular rhythm and ( menstruation) and ( abnormal
HP_0000868,Decreased fertility in females,,Decreased fertility in females | Reduced fertility in females,Decreased fertility (HP_0000144),[],,
